Word	Definition	Example
muse	ponder	For a moment he mused about the beauty of the scene, but his thought soon changed as he recalled his own personal problems.
musky	having the odor of musk	She left a trace of musky perfume behind her.
muster	gather; assemble	Washington mustered his forces at Trenton.
musty	stale; spoiled by age	The attic was dark and musty.
mutable	changing in form; fickle	His opinion were mutable and easily influenced by anyone who had any powers of persuasion.
muted	silent; muffled; toned down	In the funeral parlor, the mourners' voices had a muted quality.
mutilate	maim	The torturer threatened to mutilate his victim.
mutinous	unruly; rebellious	The captain had to use force to quiet his mutinous crew.
mutter	murmur or grumble	The child muttered at the doll.
myopic	nearsighted	In thinking only of your present needs and ignoring the future, you are being rather myopic.
myriad	very large number	myriads of mosquitoes from the swamps invaded our village every twilight.
nadir	lowest point	Although few people realized it, the Dow-Jones averages had reached their nadir and would soon begin an upward surge.
naivete	quality of being unsophisticated	I cannot believe that such naivete is unassumed in a person of her age and experience.
narcissist	conceited person	A narcissist is his own best friend.
narrative	related to telling a story	A born teller of tales, Olsen used her impressive narrative skills to advantage in her story "I Stand Here Ironing".
nascent	incipient; coming into being	If we could identify these revolutionary movements in their nascent state, we would be able to eliminate serious trouble in later years.
natation	swimming	The Red Cross emphasizes the need for courses in natation.
natty	neatly or smartly dresssed	Priding himself on being a natty dresser, the gangster Bugsy Siegel collected a wardrobe of imported suits and ties.
nauseate	cause to become sick; fill with disgust	The foul smells began to nauseate him.
nautical	pertaining to ships or navigation	The Maritime Museum contains many models of clipper ships, logbooks, anchors and many other items of a nautical nature.
nebulous	vague; hazy; cloudy	She had only a nebulous memory of her grandmother's face.
necromancy	black magic; dealings with the dead	Because he was able to perform feats of necromancy, the natives thought he was in league with the devil.
nefarious	very wicked	He was universally feared because of his many nefarious deeds.
negation	denial	I must accept his argument since you have been unable to present any negation of his evidence.
negligence	carelessness	negligence can prove costly near complicated machinery.
negligible	so small, trifling, or unimportant as to be easily disregarded	Because the damage to his car had been negligible, Michael decided he wouldn't bother to report the matter to his insurance company.
nemesis	revenging agent	Captain Bligh vowed to be Christian's nemesis.
neologism	new or newly coined word or phrase	As we invent new techniques and professions, we must also invent neologisms such as "microcomputer" and "astronaut" to describe them.
neophyte	recent convert; beginner	This monuntain slope contains slides that will challenge esperts as well as neophytes.
nepotism	favoritism (to a relative)	John left his position with the company because he felt that advancement was based on nepotism rather than ability.
nether	lower	Tradition locates hell in the nether regions.
nettle	annoy; vex	Do not let him nettle you with his sarcastic remarks.
nexus	connection	I fail to see the nexus that binds these two widely separated events.
nib	beak; pen point	The nibs of fountain pens often become clotted and corroded.
nicety	precision; minute distinction	I cannot distinguish between such niceties of reasoning.
niggardly	meanly stingy; parsimonious	The niggardly pittance the widow receives from the government cannot keep her from poverty.
niggle	spend too much time on minor points; carp	Let's not niggle over details.
nihilism	denial of traditional values; total skepticism	nihilism holds that existence has no meaning.
nirvana	Buddihist teachings, the ideal state in which the individual loses himself in the attainment of an	impersonal beatitude Despite his desire to achieve nirvana, the young Buddhist found that even the buzzing of a fly could distract him from his meditation.
nocturnal	done at night	Mr. Jones obtained a watchdog to prevent the nocturnal raids on his chicken coops.
noisome	foul smelling; unwholesome	I never could stand the noisome atmosphere surrounding the slaughter houses.
nomadic	wandering	Several nomadic tribes of Indians would hunt in this area each year.
nomenclature	terminology; system of names	She struggled to master scientific nomenclature.
nominal	in name only; trifling	He offered to drive her to the airport for only a nominal fee.
nonchalance	indifference; lack of interest	Few people could understand how he could listen to the news of the tragedy with such nonchalance; the mahority regarded him as callous and unsympathetic.
noncommittal	neutral; unpledged; undecided	We were annoyed by his noncommittal reply for we had been led to expect definite assurances of his approval.
nondescript	undistinctive; ordinary	The private detective was a short, nondescript fellow with no ourstanding features, the sort of person one would never notice in a crowd.
